coaja de banana,cursa cu obstacole,fetita
trismus,umeras,sevalet
intrare principala,balcon,suflanta cu aer cald
verso,infasurare in ghem,pasune pentru vite
salut,groapa provocata de bomba,ani de serviciu
microbist,frunza de vita de vie,jargon
perie de curatat jaluzelele,filtru de tigara,program de cinema
parama,clar de luna,lista de dorinte
sistem de climatizare auto,scaun electric,pacaleala de 1 aprilie
geanta de umar,macara turn,roman de aventuri
pompier,geaca cu gluga,cerere de gratiere
pe muchie de cutit,hamal,diferenta de scor
sut,bagaj de mana,colectie de retete
oglinda de buzunar,turn de biserica,miez de nuca
dispozitiv de ridicare a geamului,sare alcalina,gafa
cric,accesorii pentru curatare,bar de noapte
amenda baneasca,ceas digital,interdictie de circulatie
obraz nebarbierit,tabel tarifar,sforait
masina de gaurit,purcelus de casa,teren intravilan
fir de pai,burlan de soba,ora locala
masina de tipar adanc,ceas electric,printul din basme
comutator electric,sanie trasa de caini,agentie de voiaj
electrod cu sudare,balama de poarta,marmita
briceag,os de peste,balot de lana
boala de piele,pedala de fana,vizita fulger
a se aseza pe vine,ibovnic,denigrare
inaltimea varfului,vanzator de lozuri,misiune de patrulare
pronuntarea sentintei,melc fara casa,determinare
supa de ceapa,chelie,bijuterii pentru corp
parapanta,zebra,indemnizatie de boala
orizontal,jet de apa,predica morala
perchezitie corporala,umbrela de soare,jumatate de masura
