start din picioare,naufragiu,procuror general
vena,antena de camera,strada ingusta
Baba Cloanta,fier de calcat cu aburi,calau
miop,prelata de protectie,articulatia gleznei
dureri la membre,foaie de observatie,sovinist
aruncare la cos,pata de transpiratie,asociatie de locatari
ou moale,bena de transport,diavol
pantaloni de calarie,ceas de buzunar,detector de minciuni
medalie de aur,inundatie,codice
sora medicala,vagon restaurant,energie eoliana
altimetru,carlinga,factura mare
crama,perspectiva aeriana,scortisoara
patul armei,sauna,amestec de condimente
bilet de tren,tub de oxigen,schimb de pareri
venerarea focului,faianta,strengarie
crema pentru cearcane,papagal pigmeu,listac cu hituri
covor de baie,floare de mar,preot sarac
ghicit in palme,vas capilar,lac de slefuit
manifest,spargator de gheata,retea de sarma
suprafata marii,cuibarire,vaccin oral
frunte inalta,arc de riumf,aducator de vesti bune
cel ce rade la urma,olita,sala de spectacol
deschizator de scrisori,camp petrolifer,lant de magazine angro
sticluta de parfum,ciorapi stay-up,schelet de caroserie
galuste cu oua,chec cu fructe confiate,robot de bucatarie
poezie de Paste,teleschi,gheata uscata
carlig,linie de navigatie,briliant
chila barcii,fum de pipa,schimb de marfuri
linie de foc,bancheta de barca,salata de legume
regenerator de aer,harta strazilor,apa medicinala
brat de caracatita,cartela de paine,bilet pentru copii
pantofi cu sireturi,camion cu prelata,pisica persana
